Организация;Год;Фамилия и инициалы лица, чьи сведения размещаются;Владелец;Должность;вид объекта;вид собственности;площадь (кв. м);страна расположения;вид объекта;площадь (кв. м);страна расположения;Транспортные средства (вид, марка);Декларированный годовой доход <1> (руб.);Сведения об источниках получения средств, за счет которых совершена сделка <2> (вид приобретенного имущества, источники)
"Избирательная комиссия Республики Коми";"2016";"Сердитова Лариса Михайловна";"";"";"Жилой дом";"Индивидуальная";"111.3";"Россия";"";"";"";"";"";""
"Избирательная комиссия Республики Коми";"2016";"Сердитова Лариса Михайловна";"Супруг";"";"-";"-";"-";"-";"Земельный участок";"480";"Россия";"Автомобиль легковой, Toyota RAV 4";"168886.81";"-"
"Избирательная комиссия Республики Коми";"2016";"Сердитова Лариса Михайловна";"Супруг";"";"";"";"";"";"Жилой дом";"111.3";"Россия";"";"";""
"Избирательная комиссия Республики Коми";"2016";"Тимофеева Татьяна Валентиновна";"";"член Избирательной комиссии Республики Коми с правом решающего голоса";"Квартира";"Индивидуальная";"69.7";"Россия";"-";"-";"-";"-";"2689567.07";"-"
"Избирательная комиссия Республики Коми";"2016";"Тимофеева Татьяна Валентиновна";"Супруг";"";"Земельный участок";"Индивидуальная";"1000";"Россия";"Квартира";"69.7";"Россия";"1. Автомобиль легковой, HYUNDAI SANTA FE";"150503.64000000001";"-"
"Избирательная комиссия Республики Коми";"2016";"Тимофеева Татьяна Валентиновна";"Супруг";"";"";"";"";"";"";"";"";"2. Автоприцеп к легковым ТС, МЭСА 817701";"";""
"Избирательная комиссия Республики Коми";"2016";"Тимофеева Татьяна Валентиновна";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"Квартира";"69.7";"Россия";"-";"";"-"
"Избирательная комиссия Республики Коми";"2016";"Тимофеева Татьяна Валентиновна";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"Квартира";"69.7";"Россия";"-";"";"-"
"депутаты Государственного Совета Республики Коми";"2016";"Артеев Сергей Вячеславович";"";"депутат";"квартира";"индивидуальная";"69.099999999999994";"Россия";"квартира";"47.6";"Россия";"автомобиль легковой Тойота-Королла";"646927.35";"-"
"депутаты Государственного Совета Республики Коми";"2016";"Артеев Сергей Вячеславович";"";"";"";"";"";"";"квартира";"75.400000000000006";"Россия";"автомобиль VOLVO XC-60";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Артеев Сергей Вячеславович";"Супруга";"";"нежилое помещение";"индивидуальная";"91.8";"Россия";"квартира";"47.6";"Россия";"";"15505635.07";"-"
"депутаты Государственного Совета Республики Коми";"2016";"Артеев Сергей Вячеславович";"Супруга";"";"нежилое помещение";"индивидуальная";"102.8";"Россия";"квартира";"69.099999999999994";"Россия";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Артеев Сергей Вячеславович";"Супруга";"";"нежилое помещение";"индивидуальная";"39.4";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Артеев Сергей Вячеславович";"Супруга";"";"нежилое помещение";"индивидуальная";"26.5";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Артеев Сергей Вячеславович";"Супруга";"";"нежилое помещение";"индивидуальная";"28.2";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Артеев Сергей Вячеславович";"Супруга";"";"нежилое помещение";"индивидуальная";"71.400000000000006";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Артеев Сергей Вячеславович";"Супруга";"";"нежилое помещение";"индивидуальная";"61.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Артеев Сергей Вячеславович";"Супруга";"";"нежилое помещение";"индивидуальная";"17.100000000000001";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Артеев Сергей Вячеславович";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"квартира";"47.6";"Россия";"-";"-";"-"
"депутаты Государственного Совета Республики Коми";"2016";"Артеев Сергей Вячеславович";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"квартира";"75.400000000000006";"Россия";"-";"-";"-"
"депутаты Государственного Совета Республики Коми";"2016";"Бадыков Альмир Ахнафович";"";"депутат";"земельный участок";"индивидуальная";"508";"Россия";"земельный участок";"1798";"Россия";"автомобиль легковой Астон Мартин  Королла";"2818545.09";""
"депутаты Государственного Совета Республики Коми";"2016";"Бадыков Альмир Ахнафович";"";"";"квартира";"индивидуальная";"87.3";"Россия";"земельный участок";"1165";"Россия";"автомобиль легковой Форд 20 М";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Бадыков Альмир Ахнафович";"";"";"садовый";"индивидуальная";"73.3";"Россия";"";"";"";"водный транспорт катер ФЛИНТ 641";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Бадыков Альмир Ахнафович";"";"";"дом";"";"";"";"";"";"";"водный транспорт судно на воздушной подушке КРИСТИ 265";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Бадыков Альмир Ахнафович";"Супруга";"";"земельный участок";"индивидуальная";"1140";"Россия";"квартира";"87.3";"Россия";"иное транспортное средство вагон дом передвижной ДАМОН ИНТРУДЕР M-369";"80270.179999999993";""
"депутаты Государственного Совета Республики Коми";"2016";"Бадыков Альмир Ахнафович";"Супруга";"";"объект не завершенного строительства";"индивидуальная";"117.4";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Бадыков Альмир Ахнафович";"Несовершеннолетний ребенок";"";"квартира";"общая долевая (4/9 доли)";"87.3";"Россия";"-";"-";"-";"-";"-";"-"
"депутаты Государственного Совета Республики Коми";"2016";"Бадыков Альмир Ахнафович";"Несовершеннолетний ребенок";"";"квартира";"общая долевая (4/9 доли)";"87.3";"Россия";"-";"-";"-";"-";"-";"-"
"депутаты Государственного Совета Республики Коми";"2016";"Бажукова Надежда Васильевна";"";"депутат";"земельный участок";"индивидуальная";"658";"Россия";"земельный участок";"635";"Россия";"-";"787248.52";""
"депутаты Государственного Совета Республики Коми";"2016";"Бажукова Надежда Васильевна";"";"";"жилой дом";"индивидуальная";"26.4";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Бажукова Надежда Васильевна";"";"";"жилой дом";"индивидуальная";"66.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Бажукова Надежда Васильевна";"";"";"квартира";"индивидуальная";"56.6";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Брагин Михаил Анатольевич";"";"депутат";"земельный участок";"общая долевая (36/100)";"2111";"Россия";"-";"-";"-";"автомобиль легковой INFINITI QX56";"4430000";""
"депутаты Государственного Совета Республики Коми";"2016";"Брагин Михаил Анатольевич";"";"";"квартира";"общая совместная";"260";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Брагин Михаил Анатольевич";"";"";"квартира";"индивидуальная";"44.5";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Брагин Михаил Анатольевич";"";"";"нежилое помещение";"индивидуальная";"189.6";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Брагин Михаил Анатольевич";"";"";"нежилое помещение";"общая долевая (3/5 доли)";"131.4";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Брагин Михаил Анатольевич";"";"";"нежилое помещение";"индивидуальная";"441.2";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Брагин Михаил Анатольевич";"Супруга";"";"земельный участок";"общая долевая (5/100 доли)";"2111";"Россия";"-";"-";"-";"-";"202398.85";""
"депутаты Государственного Совета Республики Коми";"2016";"Брагин Михаил Анатольевич";"Супруга";"";"квартира";"общая совместная";"260";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Брагин Михаил Анатольевич";"Супруга";"";"квартира";"общая долевая (2/3 доли)";"36.4";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Брагин Михаил Анатольевич";"Супруга";"";"квартира";"индивидуальная";"32.6";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Брагин Михаил Анатольевич";"Супруга";"";"нежилое помещение";"общая долевая (1\2 доли)";"146.9";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Брагин Михаил Анатольевич";"Супруга";"";"нежилое помещение";"общая долевая (1\2 доли)";"105.6";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Брагин Михаил Анатольевич";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"квартира";"260";"Россия";"-";"-";"-"
"депутаты Государственного Совета Республики Коми";"2016";"Вокуев Леонид Михайлович";"";"депутат";"дача";"индивидуальная";"50";"Россия";"земельный участок";"1500";"Россия";"автомобиль легковой НИССАН Teana";"1451108.6";""
"депутаты Государственного Совета Республики Коми";"2016";"Вокуев Леонид Михайлович";"";"";"квартира";"индивидуальная";"79.900000000000006";"Россия";"";"";"";"мото транспортное средство лодочный мотор HDX Т9,9 ПЛМ";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Вокуев Леонид Михайлович";"";"";"";"";"";"";"";"";"";"водныйтранспорт Надувная лодка Ниссамаран Муссон ПВХ";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Вокуев Леонид Михайлович";"Супруга";"";"-";"-";"-";"-";"квартира";"79.900000000000006";"Россия";"-";"294536.52";""
"депутаты Государственного Совета Республики Коми";"2016";"Гайворонский Александр Викторович";"";"депутат";"квартира";"индивидуальная";"86.3";"Россия";"квартира";"138";"Россия";"автомобиль легковой БМВ 5351";"31006423.710000001";""
"депутаты Государственного Совета Республики Коми";"2016";"Гайворонский Александр Викторович";"";"";"квартира";"индивидуальная";"80.7";"Россия";"";"";"";"автомобиль легковой ВАЗ 21013";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Гайворонский Александр Викторович";"";"";"гараж";"индивидуальная";"43.7";"Россия";"";"";"";"автомобиль легковой Ауди Q7";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Гайворонский Александр Викторович";"";"";"гараж";"индивидуальная";"20.7";"Россия";"";"";"";"мото транспортное средство Снегоход Линкс Арми";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Гайворонский Александр Викторович";"";"";"нежилое помещение";"индивидуальная";"57";"Россия";"";"";"";"иное транспортное средство бортовой прицеп РЕСПО М35л";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Гайворонский Александр Викторович";"Супруга";"";"машиноместо";"индивидуальная";"42";"Россия";"квартира";"138";"Россия";"";"-";""
"депутаты Государственного Совета Республики Коми";"2016";"Гайворонский Александр Викторович";"Супруга";"";"гараж";"индивидуальная";"14.6";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Гайворонский Александр Викторович";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"квартира";"138";"Россия";"";"-";""
"депутаты Государственного Совета Республики Коми";"2016";"Горбачев Геннадий Федорович";"";"депутат";"квартира";"долевая (1\2 доли)";"83";"Россия";"квартира";"93.6";"Россия";"-";"2148678.31";""
"депутаты Государственного Совета Республики Коми";"2016";"Горбачев Геннадий Федорович";"";"";"";"";"";"";"квартира";"76.8";"Россия";"-";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Горбачев Геннадий Федорович";"Супруга";"";"квартира";"долевая (1\2 доли)";"83";"Россия";"квартира";"93.6";"Россия";"-";"72118.929999999993";""
"депутаты Государственного Совета Республики Коми";"2016";"Горбачев Геннадий Федорович";"Супруга";"";"";"";"";"";"квартира";"76.8";"Россия";"-";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Дорофеева Надежда Борисовна";"";"депутат";"квартира";"общая долевая (1/2 доли)";"74";"Россия";"-";"-";"-";"-";"3693369.68";""
"депутаты Государственного Совета Республики Коми";"2016";"Дорофеева Надежда Борисовна";"Супруг";"";"земельный участок";"индивидуальная";"1500";"Россия";"-";"-";"-";"автомобиль легковой Хонда CR-V";"240461.35";""
"депутаты Государственного Совета Республики Коми";"2016";"Дорофеева Надежда Борисовна";"Супруг";"";"земельный участок";"индивидуальная";"900";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Дорофеева Надежда Борисовна";"Супруг";"";"земельный участок";"индивидуальная";"575";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Дорофеева Надежда Борисовна";"Супруг";"";"квартира";"общая долевая (1/2 доли)";"74";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Дорофеева Надежда Борисовна";"Супруг";"";"нежилое помещение";"индивидуальная";"64";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Дорофеева Надежда Борисовна";"Супруг";"";"нежилое помещение";"индивидуальная";"64";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Дорофеева Надежда Борисовна";"Супруг";"";"нежилое помещение";"индивидуальная";"24";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Жариков Владимир Сергеевич";"";"депутат";"нежилое помещение";"индивидуальная";"34.799999999999997";"Россия";"квартира";"44.3";"Россия";"автомобиль легковой Peugeot 4007";"784650.89";""
"депутаты Государственного Совета Республики Коми";"2016";"Жариков Владимир Сергеевич";"";"";"нежилое помещение";"индивидуальная";"52.5";"Россия";"";"";"";"автомобиль легковой MERCEDES BENZ E220";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Жариков Владимир Сергеевич";"Несовершеннолетний ребенок";"";"-";"-";"-";"-";"квартира";"50";"Россия";"-";"43360.5";""
"депутаты Государственного Совета Республики Коми";"2016";"Жердицкий Василий Николаевич";"";"депутат";"Земельный участок";"индивидуальная";"1000";"Россия";"-";"-";"-";"автомобиль легковой МИЦУБИСИ LANCER 10";"3150787.5";""
"депутаты Государственного Совета Республики Коми";"2016";"Жердицкий Василий Николаевич";"";"";"Земельный участок";"индивидуальная";"50";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Жердицкий Василий Николаевич";"";"";"Земельный участок";"индивидуальная";"533";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Жердицкий Василий Николаевич";"";"";"квартира";"общая долевая (1\4 доли)";"53.1";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Жердицкий Василий Николаевич";"";"";"квартира";"индивидуальная";"51.1";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Жердицкий Василий Николаевич";"";"";"гараж";"индивидуальная";"70";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Жердицкий Василий Николаевич";"";"";"нежилое помещение";"индивидуальная";"28.2";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Жердицкий Василий Николаевич";"Супруга";"";"Земельный участок";"индивидуальная";"49.5";"Россия";"-";"-";"-";"-";"296382.71999999997";""
"депутаты Государственного Совета Республики Коми";"2016";"Жердицкий Василий Николаевич";"Супруга";"";"квартира";"общая долевая (1\4 доли)";"53.1";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Жердицкий Василий Николаевич";"Супруга";"";"гараж";"индивидуальная";"35";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Жиделева Валентина Васильевна";"";"депутат";"квартира";"общая долевая (3/4 доли";"141";"Россия";"-";"-";"-";"-";"3555973.59";""
"депутаты Государственного Совета Республики Коми";"2016";"Жиделева Валентина Васильевна";"";"";"гараж";"индивидуальная";"21.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Жиделева Валентина Васильевна";"Супруг";"";"Земельный участок";"индивиальная";"1000";"Россия";"квартира";"141";"Россия";"автомобиль легковой Ssangyong Actyon";"714309.8";""
"депутаты Государственного Совета Республики Коми";"2016";"Жиделева Валентина Васильевна";"Супруг";"";"дача";"индивиальная";"46.2";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Жиделева Валентина Васильевна";"Супруг";"";"нежилое помещение";"индивиальная";"24.5";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Жиделева Валентина Васильевна";"Супруг";"";"нежилое помещение";"индивиальная";"23.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"депутат";"Земельный участок";"индивидуальная";"907";"Россия";"-";"-";"-";"автомобиль легковой UAZ PATRIOT";"46860504.939999998";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"Земельный участок";"индивидуальная";"906";"Россия";"";"";"";"автомобиль грузовой грузовой бортовой MERCEDES BENZ 1317";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"Земельный участок";"общая долевая (1/8 доли)";"3136.9";"Россия";"";"";"";"автомобиль грузовой ГАЗ 330210";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"Земельный участок";"индивидуальная";"1000";"Россия";"";"";"";"автомобиль грузовой ГАЗ 33023";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"квартира";"общая долевая (1/2 доли)";"53.5";"Россия";"";"";"";"иное транспортное средство автобус ПАЗ-320540";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"квартира";"индивидуальная";"31.7";"Россия";"";"";"";"иное транспортное средство автобус FORD TRANZIT 430 VAN 32361";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"квартира";"индивидуальная";"69.900000000000006";"Россия";"";"";"";"иное транспортное средство автобус специальный ГАЗ 32841-000001001";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"гараж";"индивидуальная";"23.6";"Россия";"";"";"";"иное транспортное средство автобусы прочие ПАЗ 32050R";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"сборно- металлический арочник";"индивидуальная";"879.1";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"столовая";"общая долевая (1/2 доли)";"2106.4";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"клуб на 150 мест";"общая долевая (1/2 доли)";"950";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"часть про-";"индивидуальная";"277.7";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"нежилое помещение";"индивидуальная";"20";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"нежилое помещение";"индивидуальная";"186.9";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"нежилое помещение";"индивидуальная";"335";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"ангар";"индивидуальная";"866.5";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"ангар";"индивидуальная";"851";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"нежилое помещение";"индивидуальная";"68.7";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"нежилое помещение";"общая долевая (1/2 доли)";"73.5";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"";"";"нежилое помещение";"общая долевая (1/2 доли)";"239.3";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"Супруга";"";"земельный участок";"индивидуальная";"2366";"Россия";"-";"-";"-";"автомобиль легковой ТОЙОТА LAND CRUISER 200";"4598769.91";"-"
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"Супруга";"";"земельный участок";"индивидуальная";"600";"Россия";"";"";"";"автомобиль легковой ТОЙОТА ЛЕКСУС RX270";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"Супруга";"";"земельный участок";"индивидуальная";"5033";"Россия";"";"";"";"автомобиль грузовой ФОЛЬКСВАГЕН ТРАНСПОРТЁР";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"Супруга";"";"земельный участок";"индивидуальная";"862";"Россия";"";"";"";"иное транспортное средство экскаватор гусеничный HITACHI ZX-230";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"Супруга";"";"земельный участок";"индивидуальная";"1104";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"Супруга";"";"квартира";"индивидуальная";"35.200000000000003";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"Супруга";"";"объект незавершенного строительства";"индивидуальная";"484.2";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"Супруга";"";"склад";"индивидуальная";"717.3";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"Супруга";"";"склад";"индивидуальная";"325";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"Супруга";"";"нежилое помещение";"индивидуальная";"19.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Завальнев Игорь Николаевич";"Супруга";"";"нежилое помещение";"индивидуальная";"1091";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Истиховская Марина Дмитриевна";"";"депутат";"-";"-";"-";"-";"квартира";"146.6";"Россия";"";"3107059.77";""
"депутаты Государственного Совета Республики Коми";"2016";"Истиховская Марина Дмитриевна";"Супруг";"";"квартира";"индивидуальная";"106.7";"Россия";"квартира";"146.6";"Россия";"автомобиль легковой MAZDA 6";"1175154.25";""
"депутаты Государственного Совета Республики Коми";"2016";"Истиховская Марина Дмитриевна";"Супруг";"";"гараж";"индивидуальная";"21.2";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Истиховская Марина Дмитриевна";"Супруг";"";"гараж";"индивидуальная";"17.399999999999999";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Климушев Андрей Юрьевич";"";"депутат";"земельный участок";"индивидуальная";"24";"Россия";"земельный участок";"694";"Россия";"";"703664.67";""
"депутаты Государственного Совета Республики Коми";"2016";"Климушев Андрей Юрьевич";"";"";"жилое здание";"индивидуальная";"22.3";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Климушев Андрей Юрьевич";"";"";"квартира";"общая долевая (1/4 доли)";"41.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Климушев Андрей Юрьевич";"";"";"гараж";"индивидуальная";"22.8";"Россия";"";"";"";"";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Климушев Андрей Юрьевич";"Супруга";"";"квартира";"общая долевая (1/4 доли)";"41.8";"Россия";"-";"-";"-";"-";"382810.79";""
"депутаты Государственного Совета Республики Коми";"2016";"Климушев Андрей Юрьевич";"Несовершеннолетний ребенок";"";"квартира";"общая долевая (1/4 доли)";"41.8";"Россия";"-";"-";"-";"-";"-";"-"
"депутаты Государственного Совета Республики Коми";"2016";"Кологривый Дмитрий Дмитриевич";"";"депутат";"земельный участок";"индивидуальная";"1033";"Россия";"-";"-";"-";"автомобиль легковой LEND ROVER DISCOV- ERY 4";"45517982.909999996";""
"депутаты Государственного Совета Республики Коми";"2016";"Кологривый Дмитрий Дмитриевич";"";"";"дачный дом";"индивидуальная";"42";"Россия";"";"";"";"автомобиль легковой VOLVO XC 70";"";""
"депутаты Государственного Совета Республики Коми";"2016";"Кологривый Дмитрий Дмитриевич";"";"";"квартира";"индивидуальная";"125.2";"Россия";"";"";"";"автомобиль легковой VOLVO XC 90";"";""
